idstd,id,a4a,a6a,a2,a1c,competition_select,tax_select,vat_applicable,a4b_v4,a0,a3a,a6c,a6b,a7,a1a,a14d,a14m,a14y,a14h,a14min,ic1,a20y,a20m,a20d,a1,a12,a7a,a7b,a11,a7c,a9,b1,b1x,b3a,b2a,b2b,b2c,b2d,b4,TZb1,TZb2,TZb3,b4a,b5,b6,b6b,b7,b7a,TZb4,TZb5,b8,b8x,c3,c4,c5,c31,c32,c6,c7,c8a,c8b,c9a,c9b,c10,c11,c12,c13,c14,c33,c34,c34b,c34bx,c152,c162,c172,c35a,c35b,c22b,TZc1,c36,c37,c38,c39,c40a,c40b,c41a,c41b,c42,c30a,d1a1a,d1a6a,d1a6b,d1a6c,d1a6cx,d1a3,d2,d2x,d2a1,d2a1x,n3,n3x,d3a,d3b,d3c,TZd1a,TZd1b,TZd1c,TZd1d,TZd1e,d31x,d32,d4a,d4b,d33a,d33b,d34,d35,d36a,d36b,d37,d8,d12a,d12b,d13,TZd2a,TZd2b,TZd2c,TZd2d,d38x,d39,d14a,d14b,d40a,d40b,d41,TZd3,TZd4,d30a,d30b,o1,o2,o3a,o3b,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,e1,e2b,e31a,e31b,e6,e11,e32,e33,e34,e35,e30,h1,h2,h3x,h4x,h5,h6x,h7x,h8,h9,f1,g2,g3,g4,g31,g32,g33,g5a,g5b,g5bx,g30a,ge3,ge3a,ge7,ge8d,k3a,k3bc,k3e,k3f,k3hd,k4,n5a,n5b,k5a,k5a1,k5i,k5i1,k5bc,k5bc1,k5e,k5e1,k5f,k5f1,k5hdj,k5hdj1,k4b,n5c,n5d,k6,k7,k82,k9,k10,k11,k13,k14a,k14b,k14c,k14d,k14e,k15a,k15b,k15c,k15d,k162,k17,k20a1,k31,k32,k21,k33,k34,k35,k36,k37,k38,k39,k40,k30,TZmm1,TZmm2,TZmm3,TZmm4,TZmm5,j31,j2,j3,j4,j5,j32,j33,j34,j35a,j35b,j36,j37,j38,j39,j40,j6a,j41,j42,j43,j7a,j7b,j10,j11,j12,j13,j14,j15,j30a,j30b,j30c,j30e,j30f,h30,i30,j30_taxrate_pos,j30_taxadmin_pos,j30_permit_pos,j30_instability_pos,j30_corruption_pos,j30_courts_pos,j30_crime_pos,l1,l2,l3a,l3b,l4a1,l4a2,l4b,l5a,l5b,l5,l9b,l9b1,l10,l11a,l11a1,l11b,l11b1,l12a,l12a1,TZl1,l31,l32,l33,TZl2,TZl3a,TZl3b,TZl3c,TZl3d,l34,l35,l36,TZl4,TZl5,l1a,l6,l6a,l8,l37,l38,l39,l40,l41,TZl6,l30a,l30b,m1a,m1a_finance_pos,m1a_land_pos,m1a_permit_pos,m1a_corruption_pos,m1a_courts_pos,m1a_crime_pos,m1a_trade_pos,m1a_electricity_pos,m1a_workforce_pos,m1a_labor_pos,m1a_instability_pos,m1a_informal_pos,m1a_taxadmin_pos,m1a_taxrate_pos,m1a_transport_pos,n2a,n2a2,n2b,n2k,n2l,n2e,n2i,n2a1,n2e1,n7a,n11,n12,a15d,a15m,a15y,a15h,a15min,a16,a17,a18,a19h,a19m,a13,a3b,a3c,a3,d1a2_v4,stratificationregioncode,stratificationsizecode,stratificationsectorcode,stratificationpanelcode,wstrict,wmedian,wweak,strata,d3c_raw,exporter
1181587,64154,Other Services,Small,Arusha,Establishment,1,1,Yes,Retail,Retail services,Arusha,8,Small,Yes,Swahili,6,10,2023,12,26,Yes,2022,12,31,Tanzania,ES021,14.0,No,,,Yes,Limited partnership,,0.0,40,60.0,0,0,No,No family ownership,,,,1999,4,1999,12.0,No,2,0,Yes,"ISO9001:2015  (Quality ) ,            ISO 14001:2015  (Environment),           OHSAS 18001:2007 (Healthandsafety)",No,,,,840,No,,,,,,Yes,20.0,No,,,,Don't know (spontaneous),,,No,,,,,1.0,Yes,0.0,,,1.0,Less than 1 hour,50.0,2.0,,With no difficulty at all,Major obstacle,Retail trade of ,,,,,100,3500000000.0,Three billion and five hundred million,,,3000000000.0,Three billion,100,0,0,100,0,0,0,0,,,,,,,,,,,,,5,95,Yes,100,0,0,0,Kuwait,Seaport,7.0,,21.0,,5.0,Through Chamber of Commerce or business association,Size of the business,Major obstacle,Major obstacle,No,,Strongly agree,Tend to agree,,,,,,,,,,,,National â main product sold mostly across the country where establishment is located,Too many to count,Between 50% and 90%,,1.0,Yes,"Yes, there is more competition",Prices are regulated,No,,Minor obstacle,0.0,,,,No,,,No,,,No,,,No,,,Don't know (spontaneous),,,Minor obstacle,No,,Yes,Yes,80,20,0,0,0,No,,,,,,,,,,,,,,,,,,Yes,No,"Yes, a loan only",Private commercial banks,2021.0,Refusal (spontaneous),Yes,Yes,Yes,Yes,No,No,1000000000.0,Don't know (spontaneous),,No,No,No need for a loan - establishment had sufficient capital,,,,Yes,50,Debit cards,Payment received in less than a day,1.0,3.0,80,Debit cards,3.0,2.0,No,,,,,Tend to agree,5,Yes,5.0,No,Yes,14.0,"Yes, fully",56.0,,"Yes, fully","Yes, fully",No,,The establishment did not need to apply for a VAT cash refund,No,,No,,No payments or gifts are paid,,Yes,21.0,No,Yes,14.0,No,Very severe obstacle,Very severe obstacle,Major obstacle,Moderate obstacle,Very severe obstacle,Minor obstacle,Major obstacle,6,4,7,5,3,1,2,8.0,8,,,2,4,2,,,4.0,100.0,,1.0,,,,,100.0,,10,No need to hire any new permanent full-time workers,,,,,,,,No,,,,,8,No full-time seasonal or temporary workers,,,No,,,Yes,Yes,No,Moderate obstacle,Minor obstacle,Tax rates,9,5,14,10,3,11,13,12,6,7,8,15,2,4,1,55000000.0,6500000.0,3600000,300000,1440000,,Don't know (spontaneous),,,,10,15,6,10,2023,13,48,Somewhat truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,2,No,Yes,City with population over 1 million,4730,Arusha,Small (5-19),Other Services,Fresh,203.97827,203.15988,240.04723,9,0,0.0
1181588,64480,Retail,Unknown,Zanzibar,Establishment,0,0,Yes,Retail,Retail services,Zanzibar,5,Small,No,Swahili,12,9,2023,17,24,Yes,2022,12,31,Tanzania,Es030,,,,,,Sole proprietorship,,1.0,100,0.0,0,0,No,No family ownership,,,,2005,3,2010,18.0,No,1,0,No,,No,,,,83,Yes,3.0,3.0,20.0,1.0,,No,,No,,,,36,Gallons,,No,,,,,1.0,No,0.0,,,0.0,,,,,With no difficulty at all,Minor obstacle,Retail trade of ,,,,,100,1938500000.0,One billion nine  hundred thirty eight million  and five hundred thousand,,,504003000.0,Five hundred and four Million and three thousand,100,0,0,0,0,10,90,0,,,,,,,,,,,,,100,0,,0,0,100,0,,,,,,,,Through other business,Personal relationship and trust with the top manager of the business,No obstacle,Minor obstacle,No,,Tend to agree,Strongly agree,,,,,,,,,,,,Local â main product sold mostly in same municipality where establishment is located,Too many to count,,Don't know (spontaneous),0.0,No,No change,No,No,,Moderate obstacle,0.0,,,,No,,,No,,,No,,,No,,,16.0,Square Meters,,No obstacle,No,,No,No,100,0,0,0,0,No,,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,,,No,No,No need for a loan - establishment had sufficient capital,,,,Yes,Don't know (spontaneous),,,,,Don't know (spontaneous),,,0.0,No,,,,,Strongly agree,No time was spent,Yes,1.0,No,No,,No,,96.0,No,"Yes, fully",No,,The establishment did not need to apply for a VAT cash refund,No,,No,,No payments or gifts are paid,,No,,,No,,,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,4,1,2,5,6,3,7,5.0,4,,,5,0,0,,,3.0,0.0,,0.0,,,,,,,None,No need to hire any new permanent full-time workers,,,,,,,,No,,,,,0,No full-time seasonal or temporary workers,,,No,,,No,,No,No obstacle,No obstacle,Tax administration,13,15,2,9,10,11,1,12,5,14,3,7,4,6,8,10600000.0,800000.0,360000,1080000,Don't know (spontaneous),,1546000000.0,,,,10,Don't know (spontaneous),12,9,2023,19,29,Somewhat truthful,Are in some case taken from books and in some case estimates,One visit in face-to-face interview with one person,,,4,No,Yes,City with population over 1 million,4719,Zanzibar,Unknown,Retail,Fresh,18.056059,18.24481,17.46947,111,0,0.0
1181589,64724,Food,Small,Arusha,Establishment,1,0,Yes,Food,Manufacturing,Arusha,8,Small,No,Swahili,6,7,2023,17,8,Yes,2022,12,31,Tanzania,ES017,,,,,,Sole proprietorship,,1.0,100,0.0,0,0,No,No family ownership,,,,2015,5,2015,8.0,No,2,0,No,,No,,,,4080,No,,,,,,No,,No,,,,50,Cubic meters,,Yes,3.0,7.0,16.0,,0.0,No,0.0,,,0.0,,,,,Don't know (spontaneous),Very severe obstacle,Manufacturing of ,,,,,100,70000000.0,Seventy million,60000000.0,Sixty million,65000000.0,Sixty-five million,0,100,0,0,0,50,50,0,,,,,,,,,,,,Don't know (spontaneous),100,0,,0,0,100,0,,,,,,,,Through other business,Personal relationship and trust with the top manager of the business,Minor obstacle,Minor obstacle,No,,Does not apply (spontaneous),Does not apply (spontaneous),,,,,,,,,,,,Local â main product sold mostly in same municipality where establishment is located,Too many to count,Below 50%,50.0,0.0,No,"Yes, there is more competition",No,No,,Major obstacle,1.0,Yes,We improved flour processing by adding nutrients,"We added a machine for processing flour with nutrients, which was not there initially.",Yes,"We added a machine for processing flour with nutrients, something that was not there initially","We added a machine for processing nutrient-rich flour, something that wasn't available for the same level of production.",No,,40.0,No,,,No,,,,,,No obstacle,Yes,4000000.0,No,No,60,0,40,0,0,No,,,,,,,,,,,,,,,No,,,Yes,No,No,,,,,,,,,,,,,No,"Yes, a loan only",,Application was approved in full,30000000.0,7.0,Yes,10,Mobile money,Payment received in less than a day,5.0,200000.0,20,Mobile money,20.0,4.0,No,,,,,Does not apply (spontaneous),10,Yes,7.0,No,No,,"Yes, fully",,2.0,"Yes, fully","Yes, fully",No,,Other,No,,No,,No payments or gifts are paid,,No,,,No,,,Minor obstacle,No obstacle,No obstacle,Minor obstacle,No obstacle,Does not apply,Minor obstacle,6,2,3,7,5,1,4,8.0,6,5.0,3.0,0,2,3,0.0,0.0,,10.0,,0.0,,,,,,,None,2,2.0,,None,No,No,No,No,No,,,,,8,8,0.0,12.0,No,,,No,,No,No obstacle,Minor obstacle,Access to finance,1,2,15,7,10,11,4,12,3,6,13,5,14,8,9,38000000.0,7500000.0,20000000,1500000,Don't know (spontaneous),30000000.0,,18000000.0,35000000.0,30000000.0,30,27,6,7,2023,18,34,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,1,No,No,City with population over 1 million,1061,Arusha,Small (5-19),Food,Fresh,37.392895,37.24287,42.375057,1,0,0.0
1181590,64730,Food,Large,Arusha,Establishment,0,0,Yes,Food,Manufacturing,Arusha,460,Large,No,Swahili,8,9,2023,15,20,Yes,2022,12,31,Tanzania,ES025,,,,,,Sole proprietorship,,1.0,100,0.0,0,0,No,No family ownership,,,,1999,50,1999,25.0,No,15,6,No,,No,,,,Don't know (spontaneous),No,,,,,,No,,No,,,,2860,Other,Litres,No,,,,,0.0,No,0.0,,,0.0,,,,,Don't know (spontaneous),Major obstacle,Manufacturing of ,,,,,100,1700000000.0,one billion seven hundred million,1700000000.0,one billion seven hundred million,1500000000.0,One bilion and five hundred Milion,100,0,0,100,0,0,0,0,,,,,,,,,,,,,100,0,,100,0,0,0,,,,,,,,Through other business,Personal relationship and trust with the top manager of the business,Minor obstacle,Minor obstacle,No,,Tend to agree,Tend to agree,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",Yes,3-9 production performance indicators,Yes,Main focus was on long-term (one year or more) production targets,Possible to achieve with normal amount of effort,All managers and most production workers,No,,Promotions were based solely on performance and ability,Rarely or never,Local â main product sold mostly in same municipality where establishment is located,2.0,,25.0,0.0,No,"Yes, there is more competition",No,Yes,Not at all,Major obstacle,0.0,,,,No,,,No,,60.0,No,,,No,,,,,,No obstacle,No,,Yes,Yes,100,0,0,0,0,No,,,,,,,,,,,,,,,No,,,Yes,No,No,,,,,,,,,,,,,No,No,No need for a loan - establishment had sufficient capital,,,,No,0,,,,,10,Other,10.0,1.0,No,,,,,Strongly agree,No time was spent,Yes,3.0,No,No,,No,,48.0,No,"Yes, fully",No,,The application for a VAT cash refund is too complicated,No,,No,,No payments or gifts are paid,,No,,,No,,,Moderate obstacle,Moderate obstacle,Minor obstacle,Major obstacle,Major obstacle,No obstacle,Moderate obstacle,7,2,3,4,6,5,1,460.0,420,450.0,10.0,350,70,30,120.0,0.0,,30.0,,0.0,,,,,,,40,No need to hire any new permanent full-time workers,,,,,,,,No,,,,,15,445,120.0,12.0,No,,,Yes,Yes,No,Minor obstacle,Moderate obstacle,"Crime, theft and disorder",10,2,9,4,5,11,3,14,15,7,12,13,1,8,6,560000000.0,58000000.0,32000000,4000000,0,250000000.0,,560000000.0,250000000.0,200000000.0,15,10,8,9,2023,16,45,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,3,No,No,City with population over 1 million,1079,Arusha,Large (100 or more),Food,Fresh,1.4760983,1.4701761,1.4828831,21,0,0.0
1181591,64863,Other Services,Small,Dar-es-salaam,Establishment,0,1,Yes,Printing and reproduction of recorded media,Manufacturing,Dar-es-salaam,8,Small,No,Swahili,4,7,2023,11,52,Yes,2023,6,30,Tanzania,ES024,,,,,,Sole proprietorship,,1.0,100,0.0,0,0,No,100,0.0,,,1997,3,2020,28.0,No,4,1,No,,No,,,,1680,No,,,,,,No,,No,,,,50000,Cubic meters,,Yes,3.0,24.0,7.0,,1.0,No,0.0,,,0.0,,,,,With some difficulty,Very severe obstacle,Manufacturing of ,,,,,100,10000000.0,TEN MILLION,7000000.0,Seven million,9000000.0,Nine million,100,0,0,100,0,0,0,0,,,,,,,,,,,,,40,60,Yes,100,0,0,0,Kenya,Land border crossing,3.0,,3.0,,10.0,Other (spontaneous),Historical experience,Very severe obstacle,Major obstacle,No,,Strongly agree,Strongly agree,,,,,,,,,,,,Local â main product sold mostly in same municipality where establishment is located,Too many to count,,90.0,0.0,Yes,"Yes, there is more competition",Yes,No,,Moderate obstacle,1.0,No,Printing T-Shirt Logo by using Televison screen and Machine,Printing using a screen and using a machine,Yes,Printing using machines,Brand New,No,,80.0,No,,,No,,,,,,Moderate obstacle,No,,Yes,Don't know (spontaneous),100,0,0,0,0,Yes,5000000.0,Don't know (spontaneous),90.0,,0.0,,0.0,,0.0,,0.0,,10.0,,Yes,5000000.0,Don't know (spontaneous),Yes,Yes,No,,,,,,,,,,,,,No,No,Application procedures were complex,,,,Yes,100,Mobile money,Payment received in less than a day,20.0,830000.0,100,Mobile money,10.0,1.0,No,,,,,Strongly agree,60,Yes,3.0,No,Yes,One week or less,No,24.0,,No,"Yes, partially",No,,Other,No,,No,,Refusal (spontaneous),,No,,,No,,,Minor obstacle,Minor obstacle,Minor obstacle,No obstacle,Minor obstacle,Minor obstacle,Minor obstacle,2,6,4,5,7,1,3,3.0,Don't know (spontaneous),2.0,1.0,1,1,0,2.0,1.0,,0.0,,0.0,,,,,,,None,Don't know (spontaneous),,,,,,,,No,,,,,0,3,1.0,One month or less,No,,,No,,No,No obstacle,No obstacle,Labor regulations,13,6,5,1,8,14,12,15,4,11,7,3,2,9,10,4800000.0,276000.0,720000,600000,Don't know (spontaneous),10000000.0,,6000000.0,10000000.0,2000000.0,10,10,4,7,2023,13,11,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with different managers/staff,11.0,30.0,2,No,Yes,City with population over 1 million,1811,Dar-es-salaam,Small (5-19),Other Services,Fresh,134.96632,134.42482,171.07976,37,0,0.0
1181592,65087,Other Services,Small,Mbeya,Establishment,0,1,Yes,Accommodation,Other services,Mbeya,20,Medium,Yes,Swahili,25,7,2023,11,22,Yes,2022,12,31,Tanzania,ES023,2.0,No,,,Yes,Partnership,,1.0,100,0.0,0,0,Yes,100,100.0,40.0,40.0,2016,7,2016,10.0,Yes,6,2,No,,No,,,,1400,Yes,12.0,24.0,0.0,2.0,,Yes,5.0,No,,,,10000,Cubic meters,,No,,,,,1.0,Yes,0.0,,,1.0,3.0,,4.0,,Unable to change provider,Very severe obstacle,Hotel,32.0,7000.0,Square Meters,,50,800000000.0,EIGHT HUNDRED MILLION,,,130000000.0,One hundred and thirty million,30,20,50,40,30,20,10,0,,,,,,,,,,,,2018.0,50,50,No,40,10,30,0,,,,,,,,Business expo,Personal relationship and trust with the top manager of the business,No obstacle,No obstacle,No,,Tend to agree,Tend to disagree,We fixed it and took action to make sure it did not happen again,Yes,3-9 production performance indicators,Yes,Combination of short term and long term production targets,Possible to achieve without much effort,All managers and most production workers,Yes,The establishmentâs performance ,Promotions were based solely on performance and ability,Rarely or never,National â main product sold mostly across the country where establishment is located,Too many to count,,90.0,0.0,No,"Yes, there is more competition",Yes,No,,No obstacle,0.0,,,,No,,,No,,,No,,,No,,,,,,Moderate obstacle,No,,No,Yes,40,20,40,0,0,Yes,60000000.0,0.0,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,Yes,No,"Yes, a loan only",Private commercial banks,2020.0,200000000.0,Yes,Yes,No,No,Yes,No,500000000.0,1.0,200000000.0,No,No,Collateral requirements were too high,,,,Yes,50,"Internet and mobile banking, including direct debit transfer",Payment received in less than a day,2.0,1.0,1,"Internet and mobile banking, including direct debit transfer",20.0,3.0,No,,,,,Strongly agree,50,Yes,3.0,No,Yes,One week or less,"Yes, partially",8.0,,"Yes, fully","Yes, fully",VAT refund not available,,,Yes,Not difficult at all,Yes,365.0,No payments or gifts are paid,,No,,,Yes,One day or less,No,Very severe obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,4,5,3,2,6,1,7,20.0,8,,,7,8,5,,,16.0,,15.0,1.0,,,,,,16.0,40,5,2.0,Not enough budget or headquarters did not authorize the hiring,2.0,,,,,No,,,,,20,15,11.0,12.0,No,,,Yes,Yes,No,No obstacle,No obstacle,Access to land,4,15,3,2,1,13,11,6,9,14,12,10,5,7,8,27000000.0,3000000.0,6000000,4800000,1000000,,,,,,20,10,25,7,2023,12,40,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,2,No,No,City with population over 1 million,5510,Mbeya,Small (5-19),Other Services,Fresh,193.80258,193.02504,240.15675,76,50,1.0
1181593,65310,Other Services,Small,Mbeya,Establishment,1,1,Yes,Services of motor vehicles,Other services,Mbeya,18,Small,No,Swahili,11,11,2023,11,47,Yes,2022,12,31,Tanzania,ES023,,,,,,Partnership,,1.0,100,0.0,0,0,No,No family ownership,,,,2006,6,2006,13.0,No,7,0,No,,No,,,,2950,No,,,,,,No,,No,,,,1000,Cubic meters,,No,,,,,0.0,No,0.0,,,0.0,,,,,With some difficulty,Minor obstacle,Provide services of ,,,,,90,785000000.0,Seven hundred and eighty five million,,,684600000.0,Six hundred and eighty four million and six hundred thousand,100,0,0,50,10,30,5,5,,,,,,,,,,,,,15,85,No,65,15,20,0,,,,,,,,Through internet,Size of the business,Moderate obstacle,Minor obstacle,No,,Strongly agree,Strongly agree,,,,,,,,,,,,Local â main product sold mostly in same municipality where establishment is located,Too many to count,Below 50%,,0.0,Yes,"Yes, there is more competition",Yes,Yes,Negatively,Very severe obstacle,0.0,,,,Yes,Sealing and filling the vehicle tires with air,We were just repairing engines in the beginning,No,,,No,,,No,,,,,,Very severe obstacle,No,,Yes,Yes,70,10,20,0,0,Yes,18000000.0,0.0,40.0,,0.0,,30.0,,20.0,,10.0,,0.0,,,,,Yes,No,"Yes, a loan only",Private commercial banks,2015.0,88000000.0,Yes,Yes,Yes,No,No,No,100000000.0,2.0,14000000.0,No,No,Did not think it would be approved,,,,No,25,Mobile money,Payment received in less than a day,3.0,100000.0,60,"Internet and mobile banking, including direct debit transfer",4.0,2.0,Yes,40.0,70.0,60.0,75.0,Tend to agree,10,Yes,3.0,No,Yes,5.0,No,30.0,,"Yes, fully","Yes, partially",Not VAT eligible,,,No,,No,,No payments or gifts are paid,,No,,,Yes,14.0,No,Major obstacle,Very severe obstacle,Very severe obstacle,No obstacle,Minor obstacle,Minor obstacle,Moderate obstacle,2,6,1,5,3,4,7,5.0,3,,,3,1,1,,,1.0,,5.0,0.0,,,,,,,2,4,2.0,Legally required minimum wage or cost of dismissal were too high,1.0,No,Yes,No,Yes,No,,,,,4,2,1.0,3.0,No,,,Yes,Yes,No,Minor obstacle,Major obstacle,Business licensing and permits,11,13,5,8,14,4,1,7,12,15,9,2,10,3,6,57000000.0,6000000.0,500000,300000,0,,,,,,9,13,11,11,2023,14,50,Somewhat truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,2,No,Yes,City with population over 1 million,4520,Mbeya,Small (5-19),Other Services,Fresh,193.80258,193.02504,240.15675,76,0,0.0
1181594,65448,Hotels,Unknown,Zanzibar,Establishment,1,1,Yes,Accommodation,Other services,Zanzibar,12,Small,No,Swahili,18,9,2023,17,36,Yes,2023,2,28,Tanzania,Es030,,,,,,Shareholding company with non-traded shares or shares traded privately,,0.0,0,100.0,0,0,Don't know (spontaneous),No family ownership,,,,2008,6,2008,10.0,No,2,0,No,,No,,,,846,Yes,3.0,3.0,23.0,2.0,,Yes,2.0,No,,,,13200,Gallons,,Yes,1.0,72.0,1.0,,1.0,Yes,0.0,,,0.0,,,,,With no difficulty at all,Moderate obstacle,Hotel,25.0,225.0,Square Meters,,90,473000000.0,Four hundred seventy three million,,,198800000.0,One hundred ninety-eight million and eight hundred thousand,100,0,0,0,0,0,100,0,,,,,,,,,,,,,90,10,No,0,0,100,0,,,,,,,,Through internet,Personal relationship and trust with the top manager of the business,No obstacle,No obstacle,No,,Tend to disagree,Tend to disagree,,,,,,,,,,,,Local â main product sold mostly in same municipality where establishment is located,Too many to count,Don't know (spontaneous),,0.0,No,No change,Yes,No,,Minor obstacle,0.0,,,,No,,,No,,,No,,,No,,,,,,No obstacle,No,,No,No,100,0,0,0,0,No,,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,,,No,No,No need for a loan - establishment had sufficient capital,,,,No,95,"Internet and mobile banking, including direct debit transfer",Payment received in less than a day,2.0,Don't know (spontaneous),0,,,1.0,No,,,,,Strongly agree,No time was spent,Yes,1.0,No,No,,No,1449.0,,"Yes, partially","Yes, fully",No,,The establishment did not need to apply for a VAT cash refund,No,,No,,No payments or gifts are paid,,No,,,No,,,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,6,5,2,4,7,3,1,12.0,8,,,2,10,0,,,8.0,0.0,,0.0,,,,,,,10,No need to hire any new permanent full-time workers,,,,,,,,No,,,,,5,5,3.0,3.0,No,,,Yes,Yes,No,No obstacle,Minor obstacle,Inadequately educated workforce,10,5,2,4,11,9,14,8,12,13,3,7,6,15,1,68000000.0,10200000.0,3600000,3000000,800000,,,,,,20,Refusal (spontaneous),18,9,2023,18,56,Somewhat truthful,Are in some case taken from books and in some case estimates,One visit in face-to-face interview with one person,,,4,No,No,City with population over 1 million,5510,Zanzibar,Unknown,Hotels,Fresh,8.832935,8.918026,8.429534,112,0,0.0
1181595,65639,Retail,Medium,Dodoma,Establishment,1,1,Yes,Retail,Retail services,Dodoma,5,Small,No,Swahili,4,7,2023,17,26,Yes,2023,6,30,Tanzania,ES015,,,,,,Sole proprietorship,,0.0,100,0.0,0,0,No,100,70.0,0.0,,2020,4,2020,5.0,No,5,0,No,,No,,,,25,No,,,,,,No,,No,,,,100,Cubic meters,,No,,,,,1.0,No,0.0,,,0.0,,,,,With little difficulty,Moderate obstacle,Retail trade of ,,,,,100,14000000.0,fourteen million,,,17000000.0,Seventeen million,100,0,0,100,0,0,0,0,,,,,,,,,,,,,100,0,,0,0,0,0,,,,,,,,Business expo,Size of the business,Moderate obstacle,Minor obstacle,Yes,No,Tend to agree,Tend to agree,,,,,,,,,,,,National â main product sold mostly across the country where establishment is located,Too many to count,Below 50%,,0.0,Don't know (spontaneous),No change,No,No,,Moderate obstacle,1.0,No,"In art, improvements are essential, such as adding decorations to some items",Adding innovation to the product has also changed its appearance and increased its appeal.,No,,,No,,,Yes,40.0,No,Yes,20.0,0.0,Don't know (spontaneous),,,Major obstacle,No,,No,No,100,0,0,0,0,No,,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,,,No,No,Interest rates were not favorable,,,,Yes,10,Mobile money,5.0,10.0,10.0,10,Mobile money,5.0,3.0,No,,,,,Tend to agree,2,Yes,3.0,No,No,,No,One hour or less,,No,No,No,,The establishment did not need to apply for a VAT cash refund,No,,No,,No payments or gifts are paid,,No,,,No,,,Moderate obstacle,No obstacle,Moderate obstacle,Minor obstacle,Major obstacle,Major obstacle,Very severe obstacle,7,3,4,5,2,6,1,5.0,5,,,3,2,0,,,0.0,100.0,,1.0,,,,,No female employees trained,,10,5,No hires,Competitive labor costs and benefits were too high,,,,,,No,,,,,5,5,0.0,6.0,No,,,Yes,Yes,No,Moderate obstacle,Minor obstacle,Inadequately educated workforce,12,9,13,8,11,6,1,5,3,4,2,14,15,7,10,10000000.0,300000.0,400000,200000,0,,Don't know (spontaneous),,,,10,5,4,7,2023,18,17,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,2,Yes,No,City with population over 1 million,4773,Dodoma,Medium and Large (20+),Retail,Fresh,6.0993,6.771125,6.7542377,66,0,0.0
1181596,66070,Other Services,Small,Mbeya,Establishment,0,1,Yes,Accommodation,Other services,Mbeya,12,Small,No,Swahili,9,11,2023,14,34,Yes,2022,12,31,Tanzania,ES023,,,,,,Sole proprietorship,,1.0,100,0.0,0,0,No,No family ownership,,,,2009,4,2009,12.0,No,4,2,No,,No,,,,9000,Yes,3.0,10.0,0.0,1.0,,Yes,10.0,No,,,,20000,Cubic meters,,No,,,,,0.0,No,0.0,,,0.0,,,,,With little difficulty,Minor obstacle,Hotel,20.0,Don't know (spontaneous),,,95,198000000.0,One hundred and ninety eight million,,,123560000.0,"One hundred and twenty three million, five hundred and sixty thousand",100,0,0,60,10,5,15,10,,,,,,,,,,,,,70,30,No,70,15,15,0,,,,,,,,Through internet,Personal relationship and trust with the top manager of the business,Minor obstacle,Major obstacle,No,,Strongly agree,Strongly agree,,,,,,,,,,,,Local â main product sold mostly in same municipality where establishment is located,Too many to count,,60.0,0.0,No,"Yes, there is more competition",Yes,No,,Minor obstacle,0.0,,,,No,,,No,,,No,,,Yes,28.0,600000.0,,,,Major obstacle,No,,Yes,Yes,100,0,0,0,0,Yes,8000000.0,5000000.0,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,Yes,No,No,,,,,,,,,,,,,No,No,No need for a loan - establishment had sufficient capital,,,,No,50,"Internet and mobile banking, including direct debit transfer",Payment received in less than a day,4.0,50000.0,3,"Internet and mobile banking, including direct debit transfer",2.0,0.0,Yes,30.0,50.0,60.0,40.0,Strongly agree,12,Yes,3.0,No,Yes,3.0,"Yes, partially",48.0,,"Yes, fully","Yes, fully",No,,VAT cash refunds take too long to receive,No,,No,,No payments or gifts are paid,,No,,,Yes,14.0,No,Major obstacle,Very severe obstacle,Major obstacle,No obstacle,Minor obstacle,Minor obstacle,Minor obstacle,4,1,6,7,2,5,3,5.0,3,,,3,1,1,,,2.0,,5.0,0.0,,,,,,,2,4,2.0,Not enough budget or headquarters did not authorize the hiring,1.0,No,No,Yes,No,No,,,,,7,4,2.0,3.0,No,,,Yes,Yes,No,Minor obstacle,Minor obstacle,Business licensing and permits,9,4,13,11,14,5,3,15,12,6,7,8,10,1,2,23000000.0,2000000.0,2000000,2500000,0,,,,,,4,9,10,11,2023,8,43,Somewhat truthful,Are estimates computed with some precision,One visit in face-to-face interview with different managers/staff,3.0,30.0,2,No,Yes,City with population over 1 million,5510,Mbeya,Small (5-19),Other Services,Fresh,193.80258,193.02504,240.15675,76,0,0.0
